theme_set_id,n,theme_set_pnt_1,theme_set_pnt_2,theme_set_pnt_3,theme_set_pnt_4,theme_set_pnt_5,theme_set_pnt_6
02_18_19,1,"[0, 4, 4]",,,,,
02_18_20,2,"[4, 3, 2]","[4, 4, 1]",,,,
02_18_21,1,"[4, 4, 5]",,,,,
02_18_22,1,"[4, 4, 3]",,,,,
02_18_23,1,"[4, 4, 5]",,,,,
02_18_24,1,"[4, 4, 2]",,,,,
02_18_25,1,"[4, 4, 1]",,,,,
02_18_26,1,"[4, 4, 2]",,,,,
02_19_20,1,"[4, 2, 2]",,,,,
02_19_21,1,"[4, 2, 5]",,,,,
02_19_22,1,"[3, 2, 4]",,,,,
02_19_23,1,"[4, 2, 5]",,,,,
02_19_24,1,"[1, 2, 4]",,,,,
02_19_25,2,"[0, 3, 3]","[1, 2, 3]",,,,
02_19_26,2,"[0, 3, 4]","[1, 2, 4]",,,,
02_20_21,1,"[3, 2, 6]",,,,,
02_20_22,1,"[2, 2, 6]",,,,,
02_20_23,1,"[4, 2, 5]",,,,,
02_20_24,1,"[3, 2, 3]",,,,,
02_20_25,1,"[3, 2, 3]",,,,,
02_20_26,1,"[3, 2, 3]",,,,,
02_21_22,1,"[2, 7, 6]",,,,,
02_21_23,1,"[3, 6, 5]",,,,,
02_21_24,2,"[0, 8, 5]","[1, 7, 5]",,,,
02_21_25,1,"[3, 6, 3]",,,,,
02_21_26,1,"[2, 7, 4]",,,,,
02_22_23,1,"[4, 3, 5]",,,,,
02_22_24,2,"[2, 4, 4]","[3, 4, 3]",,,,
02_22_25,1,"[3, 5, 3]",,,,,
02_22_26,1,"[2, 6, 4]",,,,,
02_23_24,1,"[4, 5, 2]",,,,,
02_23_25,1,"[4, 5, 1]",,,,,
02_23_26,1,"[4, 5, 2]",,,,,
02_24_25,2,"[2, 4, 3]","[3, 3, 3]",,,,
02_24_26,1,"[2, 3, 3]",,,,,
02_25_26,1,"[2, 3, 4]",,,,,
03_04_05,1,"[5, 0, 11]",,,,,
03_04_06,1,"[5, 0, 8]",,,,,
03_04_07,1,"[5, 0, 5]",,,,,
03_04_08,1,"[4, 0, 18]",,,,,
03_04_09,1,"[4, 0, 4]",,,,,
03_04_10,1,"[5, 0, 5]",,,,,
03_04_11,1,"[5, 0, 3]",,,,,
03_04_12,1,"[5, 0, 6]",,,,,
03_04_13,1,"[5, 0, 4]",,,,,
03_04_14,1,"[4, 0, 3]",,,,,
03_04_15,1,"[4, 0, -2]",,,,,
03_04_16,1,"[5, 0, 7]",,,,,
03_04_17,1,"[4, 0, 6]",,,,,
03_04_18,1,"[4, 0, 3]",,,,,
03_04_19,1,"[4, 0, 3]",,,,,
03_04_20,1,"[4, 0, 2]",,,,,
03_04_21,1,"[5, 0, 9]",,,,,
03_04_22,2,"[4, 0, 4]","[5, 0, 3]",,,,
03_04_23,2,"[4, 0, 5]","[5, 0, 4]",,,,
03_04_24,1,"[5, 0, 4]",,,,,
03_04_25,1,"[4, 0, 3]",,,,,
03_04_26,1,"[4, 0, 3]",,,,,
03_05_06,2,"[3, 11, 10]","[4, 11, 9]",,,,
03_05_07,1,"[3, 11, 6]",,,,,
03_05_08,1,"[4, 11, 18]",,,,,
03_05_09,1,"[3, 11, 4]",,,,,
03_05_10,1,"[5, 8, 5]",,,,,
03_05_11,1,"[5, 8, 2]",,,,,
03_05_12,1,"[5, 8, 6]",,,,,
03_05_13,1,"[5, 10, 3]",,,,,
03_05_14,1,"[4, 11, 3]",,,,,
03_05_15,1,"[4, 11, -2]",,,,,
03_05_16,1,"[5, 11, 6]",,,,,
03_05_17,1,"[5, 11, 0]",,,,,
03_05_18,1,"[2, 11, 4]",,,,,
03_05_19,1,"[4, 11, 3]",,,,,
03_05_20,1,"[4, 11, 2]",,,,,
03_05_21,1,"[5, 10, 9]",,,,,
03_05_22,1,"[5, 11, 1]",,,,,
03_05_23,1,"[4, 11, 5]",,,,,
03_05_24,1,"[5, 7, 4]",,,,,
03_05_25,1,"[5, 11, 1]",,,,,
03_05_26,1,"[5, 11, 0]",,,,,
03_06_07,1,"[3, 10, 6]",,,,,
03_06_08,1,"[4, 9, 18]",,,,,
03_06_09,1,"[3, 10, 4]",,,,,
03_06_10,1,"[3, 10, 6]",,,,,
03_06_11,1,"[5, 5, 3]",,,,,
03_06_12,1,"[5, 6, 6]",,,,,
03_06_13,1,"[4, 9, 5]",,,,,
03_06_14,1,"[3, 10, 4]",,,,,
03_06_15,1,"[4, 9, -2]",,,,,
03_06_16,1,"[5, 8, 6]",,,,,
03_06_17,1,"[4, 8, 6]",,,,,
03_06_18,1,"[3, 10, 3]",,,,,
03_06_19,1,"[4, 9, 3]",,,,,
03_06_20,1,"[4, 9, 2]",,,,,
03_06_21,2,"[5, 6, 9]","[5, 8, 8]",,,,
03_06_22,1,"[3, 9, 4]",,,,,
03_06_23,1,"[3, 10, 5]",,,,,
03_06_24,1,"[4, 8, 4]",,,,,
03_06_25,1,"[4, 8, 3]",,,,,
03_06_26,1,"[3, 9, 2]",,,,,
03_07_08,1,"[4, 6, 15]",,,,,
03_07_09,1,"[4, 5, 3]",,,,,
03_07_10,1,"[4, 6, 5]",,,,,
03_07_11,1,"[4, 5, 3]",,,,,
03_07_12,1,"[5, 5, 6]",,,,,
03_07_13,1,"[5, 4, 4]",,,,,
03_07_14,1,"[4, 5, 2]",,,,,
03_07_15,1,"[4, 6, -2]",,,,,
03_07_16,1,"[5, 4, 6]",,,,,
03_07_17,1,"[4, 5, 6]",,,,,
03_07_18,1,"[2, 6, 4]",,,,,
03_07_19,2,"[3, 6, 4]","[4, 6, 3]",,,,
03_07_20,1,"[4, 5, 2]",,,,,
03_07_21,2,"[5, 4, 8]","[5, 5, 7]",,,,
03_07_22,1,"[5, 5, 0]",,,,,
03_07_23,1,"[4, 6, 5]",,,,,
03_07_24,1,"[5, 2, 4]",,,,,
03_07_25,1,"[4, 4, 2]",,,,,
03_07_26,1,"[4, 4, 2]",,,,,
03_08_09,1,"[5, 10, 2]",,,,,
03_08_10,1,"[4, 18, 5]",,,,,
03_08_11,1,"[5, 3, 3]",,,,,
03_08_12,1,"[5, 10, 6]",,,,,
03_08_13,1,"[4, 18, 4]",,,,,
03_08_14,1,"[5, 12, 1]",,,,,
03_08_15,1,"[4, 15, -2]",,,,,
03_08_16,1,"[4, 14, 7]",,,,,
03_08_17,1,"[4, 12, 6]",,,,,
03_08_18,1,"[4, 15, 3]",,,,,
03_08_19,1,"[3, 20, 4]",,,,,
03_08_20,1,"[5, 6, 1]",,,,,
03_08_21,1,"[5, 12, 7]",,,,,
03_08_22,1,"[4, 10, 3]",,,,,
03_08_23,2,"[3, 20, 5]","[4, 18, 5]",,,,
03_08_24,1,"[4, 10, 4]",,,,,
03_08_25,1,"[4, 10, 2]",,,,,
03_08_26,1,"[3, 15, 3]",,,,,
03_09_10,1,"[4, 4, 5]",,,,,
03_09_11,1,"[4, 4, 3]",,,,,
03_09_12,1,"[5, 3, 6]",,,,,
03_09_13,1,"[4, 4, 4]",,,,,
03_09_14,1,"[2, 5, 4]",,,,,
03_09_15,1,"[4, 4, -2]",,,,,
03_09_16,1,"[5, 3, 5]",,,,,
03_09_17,1,"[4, 3, 4]",,,,,
03_09_18,1,"[4, 3, 2]",,,,,
03_09_19,1,"[4, 3, 2]",,,,,
03_09_20,1,"[3, 4, 2]",,,,,
03_09_21,1,"[3, 4, 9]",,,,,
03_09_22,1,"[1, 5, 6]",,,,,
03_09_23,1,"[4, 3, 4]",,,,,
03_09_24,1,"[4, 4, 5]",,,,,
03_09_25,1,"[4, 4, 3]",,,,,
03_09_26,1,"[1, 5, 4]",,,,,
03_10_11,1,"[5, 3, 3]",,,,,
03_10_12,1,"[5, 4, 6]",,,,,
03_10_13,1,"[4, 5, 5]",,,,,
03_10_14,1,"[4, 5, 3]",,,,,
03_10_15,3,"[5, 3, -3]","[5, 4, -4]","[5, 5, -5]",,,
03_10_16,1,"[5, 4, 7]",,,,,
03_10_17,1,"[4, 5, 3]",,,,,
03_10_18,1,"[4, 5, 3]",,,,,
03_10_19,1,"[4, 5, 3]",,,,,
03_10_20,1,"[4, 5, 2]",,,,,
03_10_21,1,"[5, 5, 9]",,,,,
03_10_22,1,"[4, 5, 3]",,,,,
03_10_23,1,"[4, 5, 5]",,,,,
03_10_24,1,"[5, 4, 4]",,,,,
03_10_25,1,"[3, 5, 3]",,,,,
03_10_26,1,"[3, 5, 3]",,,,,
03_11_12,1,"[5, 3, 6]",,,,,
03_11_13,1,"[5, 3, 3]",,,,,
03_11_14,1,"[4, 3, 3]",,,,,
03_11_15,1,"[4, 3, -2]",,,,,
03_11_16,1,"[5, 3, 3]",,,,,
03_11_17,1,"[4, 3, 6]",,,,,
03_11_18,1,"[4, 3, 3]",,,,,
03_11_19,1,"[4, 3, 3]",,,,,
03_11_20,1,"[5, 3, 1]",,,,,
03_11_21,1,"[5, 3, 8]",,,,,
03_11_22,1,"[4, 3, 4]",,,,,
03_11_23,1,"[4, 3, 4]",,,,,
03_11_24,1,"[4, 3, 5]",,,,,
03_11_25,1,"[4, 3, 3]",,,,,
03_11_26,1,"[4, 3, 3]",,,,,
03_12_13,1,"[5, 6, 4]",,,,,
03_12_14,1,"[5, 6, 2]",,,,,
03_12_15,1,"[5, 6, -3]",,,,,
03_12_16,1,"[5, 6, 5]",,,,,
03_12_17,1,"[5, 6, 2]",,,,,
03_12_18,1,"[5, 6, 2]",,,,,
03_12_19,1,"[5, 6, 2]",,,,,
03_12_20,1,"[5, 6, 1]",,,,,
03_12_21,1,"[5, 6, 8]",,,,,
03_12_22,1,"[5, 6, 3]",,,,,
03_12_23,1,"[5, 6, 4]",,,,,
03_12_24,1,"[5, 6, 4]",,,,,
03_12_25,1,"[5, 6, 2]",,,,,
03_12_26,1,"[5, 6, 2]",,,,,
03_13_14,1,"[4, 4, 3]",,,,,
03_13_15,1,"[5, 3, -3]",,,,,
03_13_16,1,"[5, 3, 6]",,,,,
03_13_17,1,"[4, 4, 3]",,,,,
03_13_18,2,"[4, 4, 3]","[5, 4, 2]",,,,
03_13_19,1,"[4, 4, 3]",,,,,
03_13_20,1,"[5, 4, 1]",,,,,
03_13_21,1,"[5, 4, 9]",,,,,
03_13_22,2,"[4, 4, 4]","[5, 4, 3]",,,,
03_13_23,1,"[5, 4, 4]",,,,,
03_13_24,1,"[5, 4, 4]",,,,,
03_13_25,2,"[4, 4, 3]","[5, 4, 2]",,,,
03_13_26,2,"[4, 4, 3]","[4, 5, 2]",,,,
03_14_15,1,"[4, 3, -2]",,,,,
03_14_16,1,"[5, 2, 6]",,,,,
03_14_17,1,"[4, 2, 4]",,,,,
03_14_18,1,"[3, 3, 2]",,,,,
03_14_19,3,"[3, 3, 2]","[3, 2, 3]","[4, 2, 2]",,,
03_14_20,1,"[2, 4, 2]",,,,,
03_14_21,2,"[3, 4, 9]","[4, 3, 9]",,,,
03_14_22,1,"[3, 4, 5]",,,,,
03_14_23,1,"[4, 2, 4]",,,,,
03_14_24,1,"[4, 3, 5]",,,,,
03_14_25,2,"[3, 4, 3]","[4, 3, 3]",,,,
03_14_26,1,"[2, 4, 4]",,,,,
03_15_16,1,"[4, -2, 7]",,,,,
03_15_17,1,"[3, -2, 8]",,,,,
03_15_18,1,"[2, -1, 4]",,,,,
03_15_19,1,"[2, -1, 4]",,,,,
03_15_20,1,"[4, -2, 2]",,,,,
03_15_21,1,"[5, -3, 9]",,,,,
03_15_22,1,"[2, -1, 5]",,,,,
03_15_23,1,"[4, -2, 5]",,,,,
03_15_24,1,"[4, -2, 4]",,,,,
03_15_25,1,"[2, -1, 3]",,,,,
03_15_26,1,"[3, -2, 3]",,,,,
03_16_17,1,"[5, 7, 0]",,,,,
03_16_18,1,"[5, 6, 2]",,,,,
03_16_19,1,"[5, 6, 2]",,,,,
03_16_20,1,"[5, 6, 1]",,,,,
03_16_21,1,"[5, 7, 8]",,,,,
03_16_22,1,"[5, 7, 1]",,,,,
03_16_23,1,"[5, 6, 4]",,,,,
03_16_24,1,"[5, 7, 1]",,,,,
03_16_25,1,"[5, 5, 2]",,,,,
03_16_26,1,"[5, 7, 1]",,,,,
03_17_18,1,"[2, 8, 4]",,,,,
03_17_19,1,"[3, 8, 4]",,,,,
03_17_20,1,"[4, 4, 1]",,,,,
03_17_21,2,"[5, 0, 9]","[5, 1, 8]",,,,
03_17_22,1,"[3, 4, 4]",,,,,
03_17_23,1,"[4, 6, 4]",,,,,
03_17_24,1,"[4, 4, 4]",,,,,
03_17_25,1,"[4, 2, 3]",,,,,
03_17_26,1,"[3, 6, 3]",,,,,
03_18_19,1,"[2, 4, 4]",,,,,
03_18_20,1,"[3, 2, 2]",,,,,
03_18_21,1,"[5, 2, 7]",,,,,
03_18_22,1,"[2, 3, 4]",,,,,
03_18_23,1,"[2, 4, 5]",,,,,
03_18_24,1,"[4, 2, 4]",,,,,
03_18_25,1,"[2, 3, 3]",,,,,
03_18_26,1,"[2, 3, 4]",,,,,
03_19_20,1,"[4, 2, 1]",,,,,
03_19_21,1,"[5, 2, 7]",,,,,
03_19_22,1,"[3, 3, 3]",,,,,
03_19_23,2,"[3, 4, 5]","[4, 3, 5]",,,,
03_19_24,1,"[4, 2, 4]",,,,,
03_19_25,2,"[2, 3, 3]","[4, 1, 3]",,,,
03_19_26,1,"[3, 3, 3]",,,,,
03_20_21,1,"[5, 1, 8]",,,,,
03_20_22,1,"[3, 2, 4]",,,,,
03_20_23,1,"[4, 2, 4]",,,,,
03_20_24,1,"[4, 2, 4]",,,,,
03_20_25,1,"[3, 2, 3]",,,,,
03_20_26,2,"[2, 2, 4]","[3, 2, 3]",,,,
03_21_22,1,"[4, 9, 4]",,,,,
03_21_23,1,"[5, 7, 4]",,,,,
03_21_24,1,"[5, 9, 4]",,,,,
03_21_25,1,"[4, 9, 3]",,,,,
03_21_26,1,"[5, 9, 2]",,,,,
03_22_23,3,"[4, 1, 4]","[4, 0, 5]","[5, 0, 4]",,,
03_22_24,1,"[4, 4, 5]",,,,,
03_22_25,1,"[4, 4, 3]",,,,,
03_22_26,1,"[3, 5, 4]",,,,,
03_23_24,1,"[5, 1, 4]",,,,,
03_23_25,1,"[4, 3, 2]",,,,,
03_23_26,1,"[3, 4, 2]",,,,,
03_24_25,1,"[4, 5, 3]",,,,,
03_24_26,1,"[4, 5, 3]",,,,,
03_25_26,1,"[2, 3, 4]",,,,,
04_05_06,1,"[0, 11, 11]",,,,,
04_05_07,1,"[0, 11, 6]",,,,,
04_05_08,1,"[0, 11, 20]",,,,,
04_05_09,1,"[0, 11, 4]",,,,,
04_05_10,1,"[0, 10, 5]",,,,,
04_05_11,1,"[0, 9, 2]",,,,,
04_05_12,1,"[0, 11, 5]",,,,,
04_05_13,1,"[0, 11, 3]",,,,,
04_05_14,1,"[0, 11, 4]",,,,,
04_05_15,1,"[0, 11, -1]",,,,,
04_05_16,1,"[0, 11, 7]",,,,,
04_05_17,1,"[0, 9, 8]",,,,,
04_05_18,1,"[0, 11, 4]",,,,,
04_05_19,1,"[0, 11, 4]",,,,,
04_05_20,1,"[0, 10, 3]",,,,,
04_05_21,1,"[0, 10, 9]",,,,,
04_05_22,1,"[0, 11, 5]",,,,,
04_05_23,1,"[0, 11, 5]",,,,,
04_05_24,1,"[0, 11, 3]",,,,,
04_05_25,1,"[0, 9, 3]",,,,,
04_05_26,1,"[0, 11, 3]",,,,,
04_06_07,1,"[0, 11, 6]",,,,,
04_06_08,1,"[0, 10, 15]",,,,,
04_06_09,1,"[0, 10, 4]",,,,,
04_06_10,2,"[0, 10, 6]","[0, 11, 5]",,,,
04_06_11,1,"[0, 8, 3]",,,,,
04_06_12,1,"[0, 8, 5]",,,,,
04_06_13,1,"[0, 11, 4]",,,,,
04_06_14,1,"[0, 10, 4]",,,,,
04_06_15,1,"[0, 10, -2]",,,,,
04_06_16,2,"[0, 10, 5]","[0, 9, 6]",,,,
04_06_17,1,"[0, 9, 6]",,,,,
04_06_18,1,"[0, 11, 3]",,,,,
04_06_19,1,"[0, 11, 3]",,,,,
04_06_20,1,"[0, 11, 2]",,,,,
04_06_21,1,"[0, 10, 8]",,,,,
04_06_22,1,"[0, 10, 4]",,,,,
04_06_23,1,"[0, 11, 5]",,,,,
04_06_24,1,"[0, 8, 4]",,,,,
04_06_25,1,"[0, 10, 3]",,,,,
04_06_26,1,"[0, 8, 3]",,,,,
04_07_08,1,"[0, 6, 16]",,,,,
04_07_09,1,"[0, 5, 4]",,,,,
04_07_10,1,"[0, 6, 5]",,,,,
04_07_11,1,"[0, 5, 3]",,,,,
04_07_12,2,"[0, 5, 6]","[0, 6, 5]",,,,
04_07_13,1,"[0, 6, 4]",,,,,
04_07_14,2,"[0, 5, 3]","[0, 4, 4]",,,,
04_07_15,1,"[0, 6, -1]",,,,,
04_07_16,1,"[0, 6, 5]",,,,,
04_07_17,1,"[0, 6, 4]",,,,,
04_07_18,1,"[0, 6, 4]",,,,,
04_07_19,1,"[0, 6, 4]",,,,,
04_07_20,1,"[0, 6, 2]",,,,,
04_07_21,1,"[0, 6, 6]",,,,,
04_07_22,1,"[0, 5, 4]",,,,,
04_07_23,1,"[0, 6, 5]",,,,,
04_07_24,2,"[0, 5, 3]","[0, 4, 4]",,,,
04_07_25,1,"[0, 4, 3]",,,,,
04_07_26,2,"[0, 5, 3]","[0, 4, 4]",,,,
04_08_09,1,"[0, 9, 3]",,,,,
04_08_10,1,"[0, 20, 5]",,,,,
04_08_11,1,"[0, 9, 3]",,,,,
04_08_12,1,"[0, 15, 5]",,,,,
04_08_13,1,"[0, 20, 4]",,,,,
04_08_14,1,"[0, 9, 3]",,,,,
04_08_15,1,"[0, 20, -2]",,,,,
04_08_16,1,"[0, 20, 5]",,,,,
04_08_17,1,"[0, 12, 8]",,,,,
04_08_18,1,"[0, 16, 4]",,,,,
04_08_19,1,"[0, 20, 4]",,,,,
04_08_20,1,"[0, 12, 1]",,,,,
04_08_21,1,"[0, 18, 6]",,,,,
04_08_22,1,"[0, 12, 4]",,,,,
04_08_23,1,"[0, 20, 5]",,,,,
04_08_24,1,"[0, 12, 4]",,,,,
04_08_25,1,"[0, 9, 3]",,,,,
04_08_26,1,"[0, 12, 4]",,,,,
04_09_10,1,"[0, 4, 5]",,,,,
04_09_11,1,"[0, 5, 3]",,,,,
04_09_12,1,"[0, 4, 5]",,,,,
04_09_13,1,"[0, 5, 4]",,,,,
04_09_14,1,"[0, 5, 4]",,,,,
04_09_15,1,"[0, 4, -2]",,,,,
04_09_16,1,"[0, 4, 4]",,,,,
04_09_17,1,"[0, 4, 6]",,,,,
04_09_18,1,"[0, 4, 3]",,,,,
04_09_19,2,"[0, 4, 3]","[0, 3, 4]",,,,
04_09_20,1,"[0, 5, 2]",,,,,
04_09_21,1,"[0, 5, 8]",,,,,
04_09_22,1,"[0, 5, 6]",,,,,
04_09_23,2,"[0, 3, 5]","[0, 4, 4]",,,,
04_09_24,2,"[0, 5, 4]","[0, 4, 5]",,,,
04_09_25,1,"[0, 5, 3]",,,,,
04_09_26,1,"[0, 5, 4]",,,,,
04_10_11,1,"[0, 4, 3]",,,,,
04_10_12,1,"[0, 5, 5]",,,,,
04_10_13,1,"[0, 6, 4]",,,,,
04_10_14,1,"[0, 5, 4]",,,,,
04_10_15,6,"[0, 4, -4]","[0, 2, -2]","[0, 3, -3]","[0, 1, -1]","[0, 5, -5]","[0, 6, -6]"
04_10_16,1,"[0, 5, 6]",,,,,
04_10_17,1,"[0, 4, 8]",,,,,
04_10_18,1,"[0, 5, 4]",,,,,
04_10_19,1,"[0, 5, 4]",,,,,
04_10_20,1,"[0, 5, 3]",,,,,
04_10_21,1,"[0, 6, 8]",,,,,
04_10_22,1,"[0, 5, 5]",,,,,
04_10_23,1,"[0, 6, 5]",,,,,
04_10_24,1,"[0, 5, 4]",,,,,
04_10_25,1,"[0, 5, 3]",,,,,
04_10_26,1,"[0, 5, 3]",,,,,
04_11_12,1,"[0, 3, 6]",,,,,
04_11_13,2,"[0, 2, 4]","[0, 3, 3]",,,,
04_11_14,1,"[0, 3, 4]",,,,,
04_11_15,1,"[0, 3, -1]",,,,,
04_11_16,1,"[0, 3, 4]",,,,,
04_11_17,1,"[0, 3, 8]",,,,,
04_11_18,1,"[0, 3, 4]",,,,,
04_11_19,1,"[0, 3, 4]",,,,,
04_11_20,1,"[0, 3, 2]",,,,,
04_11_21,1,"[0, 3, 8]",,,,,
04_11_22,1,"[0, 3, 6]",,,,,
04_11_23,1,"[0, 3, 4]",,,,,
04_11_24,1,"[0, 3, 5]",,,,,
04_11_25,1,"[0, 3, 3]",,,,,
04_11_26,1,"[0, 3, 4]",,,,,
04_12_13,1,"[0, 6, 4]",,,,,
04_12_14,1,"[0, 5, 3]",,,,,
04_12_15,1,"[0, 5, -2]",,,,,
04_12_16,1,"[0, 6, 5]",,,,,
04_12_17,1,"[0, 5, 6]",,,,,
04_12_18,1,"[0, 5, 3]",,,,,
04_12_19,2,"[0, 5, 3]","[0, 4, 4]",,,,
04_12_20,1,"[0, 5, 2]",,,,,
04_12_21,1,"[0, 6, 8]",,,,,
04_12_22,1,"[0, 5, 4]",,,,,
04_12_23,1,"[0, 5, 5]",,,,,
04_12_24,1,"[0, 6, 4]",,,,,
04_12_25,1,"[0, 5, 3]",,,,,
04_12_26,1,"[0, 5, 3]",,,,,
04_13_14,1,"[0, 5, 3]",,,,,
04_13_15,2,"[0, 4, -4]","[0, 3, -3]",,,,
04_13_16,1,"[0, 4, 6]",,,,,
04_13_17,1,"[0, 3, 8]",,,,,
04_13_18,1,"[0, 4, 4]",,,,,
04_13_19,1,"[0, 4, 4]",,,,,
04_13_20,1,"[0, 4, 2]",,,,,
04_13_21,1,"[0, 4, 9]",,,,,
04_13_22,1,"[0, 4, 6]",,,,,
04_13_23,2,"[0, 4, 5]","[0, 5, 4]",,,,
04_13_24,1,"[0, 4, 4]",,,,,
04_13_25,1,"[0, 4, 3]",,,,,
04_13_26,1,"[0, 4, 4]",,,,,
04_14_15,1,"[0, 3, -2]",,,,,
04_14_16,1,"[0, 4, 4]",,,,,
04_14_17,2,"[0, 3, 6]","[0, 4, 4]",,,,
04_14_18,2,"[0, 4, 2]","[0, 3, 3]",,,,
04_14_19,1,"[0, 3, 3]",,,,,
04_14_20,1,"[0, 4, 2]",,,,,
04_14_21,1,"[0, 4, 9]",,,,,
04_14_22,1,"[0, 4, 6]",,,,,
04_14_23,1,"[0, 3, 4]",,,,,
04_14_24,2,"[0, 3, 5]","[0, 4, 4]",,,,
04_14_25,1,"[0, 4, 3]",,,,,
04_14_26,1,"[0, 4, 4]",,,,,
04_15_16,1,"[0, -2, 7]",,,,,
04_15_17,1,"[0, -1, 6]",,,,,
04_15_18,1,"[0, -1, 4]",,,,,
04_15_19,1,"[0, -1, 4]",,,,,
04_15_20,1,"[0, -1, 2]",,,,,
04_15_21,1,"[0, -1, 7]",,,,,
04_15_22,1,"[0, -1, 5]",,,,,
04_15_23,1,"[0, -1, 5]",,,,,
04_15_24,1,"[0, -2, 4]",,,,,
04_15_25,1,"[0, -1, 3]",,,,,
04_15_26,1,"[0, -1, 3]",,,,,
04_16_17,2,"[0, 4, 6]","[0, 5, 4]",,,,
04_16_18,1,"[0, 4, 4]",,,,,
04_16_19,1,"[0, 5, 4]",,,,,
04_16_20,1,"[0, 4, 2]",,,,,
04_16_21,1,"[0, 7, 8]",,,,,
04_16_22,2,"[0, 4, 5]","[0, 5, 4]",,,,
04_16_23,1,"[0, 6, 5]",,,,,
04_16_24,1,"[0, 6, 4]",,,,,
04_16_25,1,"[0, 5, 3]",,,,,
04_16_26,1,"[0, 4, 4]",,,,,
04_17_18,1,"[0, 8, 4]",,,,,
04_17_19,1,"[0, 8, 4]",,,,,
04_17_20,1,"[0, 4, 2]",,,,,
04_17_21,1,"[0, 6, 6]",,,,,
04_17_22,1,"[0, 6, 5]",,,,,
04_17_23,1,"[0, 8, 4]",,,,,
04_17_24,1,"[0, 6, 4]",,,,,
04_17_25,1,"[0, 6, 3]",,,,,
04_17_26,1,"[0, 6, 4]",,,,,
04_18_19,1,"[0, 4, 4]",,,,,
04_18_20,1,"[0, 3, 2]",,,,,
04_18_21,1,"[0, 4, 5]",,,,,
04_18_22,2,"[0, 3, 5]","[0, 4, 4]",,,,
04_18_23,1,"[0, 4, 5]",,,,,
04_18_24,1,"[0, 3, 4]",,,,,
04_18_25,1,"[0, 3, 3]",,,,,
04_18_26,1,"[0, 3, 4]",,,,,
04_19_20,1,"[0, 2, 2]",,,,,
04_19_21,1,"[0, 4, 5]",,,,,
04_19_22,2,"[0, 3, 5]","[0, 4, 4]",,,,
04_19_23,1,"[0, 4, 5]",,,,,
04_19_24,1,"[0, 3, 4]",,,,,
04_19_25,1,"[0, 3, 3]",,,,,
04_19_26,1,"[0, 3, 4]",,,,,
04_20_21,1,"[0, 2, 7]",,,,,
04_20_22,1,"[0, 2, 6]",,,,,
04_20_23,1,"[0, 3, 4]",,,,,
04_20_24,1,"[0, 2, 4]",,,,,
04_20_25,1,"[0, 2, 3]",,,,,
04_20_26,1,"[0, 2, 4]",,,,,
04_21_22,1,"[0, 8, 6]",,,,,
04_21_23,1,"[0, 6, 5]",,,,,
04_21_24,2,"[0, 9, 4]","[0, 8, 5]",,,,
04_21_25,1,"[0, 9, 3]",,,,,
04_21_26,1,"[0, 8, 4]",,,,,
04_22_23,2,"[0, 4, 4]","[0, 3, 5]",,,,
04_22_24,2,"[0, 4, 5]","[0, 5, 4]",,,,
04_22_25,1,"[0, 6, 3]",,,,,
04_22_26,1,"[0, 6, 4]",,,,,
04_23_24,1,"[0, 4, 3]",,,,,
04_23_25,2,"[0, 4, 2]","[0, 3, 3]",,,,
04_23_26,1,"[0, 4, 3]",,,,,
04_24_25,1,"[0, 5, 3]",,,,,
04_24_26,1,"[0, 5, 3]",,,,,
04_25_26,1,"[0, 3, 4]",,,,,
05_06_07,1,"[11, 11, 6]",,,,,
05_06_08,1,"[11, 11, 12]",,,,,
05_06_09,2,"[11, 10, 4]","[11, 11, 3]",,,,
05_06_10,1,"[9, 11, 5]",,,,,
05_06_11,1,"[11, 11, 1]",,,,,
05_06_12,1,"[11, 9, 4]",,,,,
05_06_13,1,"[9, 11, 4]",,,,,
05_06_14,1,"[11, 11, 3]",,,,,
05_06_15,1,"[11, 10, -2]",,,,,
05_06_16,2,"[11, 10, 5]","[11, 11, 4]",,,,
05_06_17,1,"[11, 11, 3]",,,,,
05_06_18,1,"[11, 11, 3]",,,,,
05_06_19,1,"[11, 11, 3]",,,,,
05_06_20,1,"[11, 11, 2]",,,,,
05_06_21,1,"[11, 11, 7]",,,,,
05_06_22,1,"[11, 11, 3]",,,,,
05_06_23,1,"[11, 11, 5]",,,,,
05_06_24,1,"[11, 10, 3]",,,,,
05_06_25,1,"[11, 11, 2]",,,,,
05_06_26,1,"[11, 11, 1]",,,,,
05_07_08,1,"[11, 5, 20]",,,,,
05_07_09,1,"[11, 6, 2]",,,,,
05_07_10,1,"[11, 6, 3]",,,,,
05_07_11,1,"[9, 6, 2]",,,,,
05_07_12,1,"[9, 6, 5]",,,,,
05_07_13,1,"[11, 6, 2]",,,,,
05_07_14,1,"[11, 5, 3]",,,,,
05_07_15,1,"[11, 6, -2]",,,,,
05_07_16,1,"[11, 5, 6]",,,,,
05_07_17,1,"[10, 6, 4]",,,,,
05_07_18,1,"[10, 6, 4]",,,,,
05_07_19,1,"[10, 6, 4]",,,,,
05_07_20,1,"[11, 6, 2]",,,,,
05_07_21,1,"[11, 6, 6]",,,,,
05_07_22,1,"[11, 6, 2]",,,,,
05_07_23,1,"[11, 6, 5]",,,,,
05_07_24,1,"[11, 6, 2]",,,,,
