theme_set_id,theme_synonym_id,pattern,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,n_in_min
01_03_23,6693666,027351864051024211,3,2,4,0,5,7,5,0,3,4,2,5,1,2,-4,0,0,2,0,0,6,1,4,1,1,0,17
01_03_24,6693608,536208174404704571,3,2,4,0,5,3,3,0,3,3,3,5,1,2,-3,0,0,2,0,0,6,1,1,4,2,2,10
01_03_25,6692950,035268174004451571,3,2,3,0,7,4,3,0,4,2,3,4,1,3,-2,0,0,2,0,0,6,4,1,4,3,2,32
01_03_26,6592537,083512674044431554,3,0,2,0,4,3,2,0,3,3,2,3,1,1,-3,0,0,0,0,2,4,5,1,3,2,4,7
01_04_05,6693911,528673041221644500,3,3,1,0,11,9,4,0,3,2,0,1,1,3,-2,0,0,2,0,0,6,4,3,1,2,2,4
01_04_06,6685918,087642351022522030,3,2,1,0,9,9,5,0,4,2,2,3,1,3,-2,0,0,1,0,2,3,1,4,3,2,1,14
01_04_07,6695875,081726354021522031,3,3,1,0,9,7,6,2,3,2,2,2,1,2,-2,1,2,3,2,0,4,3,5,2,1,2,7
01_04_08,4369610,207386514604550121,1,0,3,0,4,5,5,16,1,5,1,4,3,0,-5,0,0,0,4,0,4,1,5,1,0,1,5
01_04_09,6681497,082567314022444551,3,2,1,0,8,5,2,0,5,3,2,3,2,4,-3,0,0,2,0,0,6,5,1,3,3,3,41
01_04_10,6681275,512837064032104551,3,2,1,0,7,9,5,0,3,5,1,1,4,3,-5,0,0,2,0,0,5,2,3,1,2,2,11
01_04_11,6702194,084721563022510460,4,2,1,0,7,6,4,0,4,2,3,2,1,3,-2,0,0,2,0,0,5,5,3,2,3,3,20
01_04_12,6693666,027351864051024211,3,2,4,0,5,7,5,0,3,4,2,5,1,2,-4,0,0,2,0,0,6,1,4,1,1,0,17
01_04_13,6696665,035726814042511262,4,0,1,0,3,6,4,0,4,4,1,3,4,1,-4,0,0,1,0,0,5,3,4,3,1,2,7
01_04_14,6681497,082567314022444551,3,2,1,0,8,5,2,0,5,3,2,3,2,4,-3,0,0,2,0,0,6,5,1,3,3,3,41
01_04_15,6695198,506134278404251570,3,3,1,0,8,5,3,2,3,1,2,3,1,2,-1,1,1,2,1,2,1,2,3,3,3,2,23
01_04_16,6068031,132607584257606354,2,0,2,0,9,3,3,5,2,1,1,4,1,1,-1,5,0,1,1,1,4,2,2,3,1,2,2
01_04_17,6520260,031584726002421531,3,0,1,0,5,6,5,0,3,3,3,2,2,1,-3,0,4,1,2,0,4,4,4,2,2,3,8
01_04_18,6696629,052837164022144311,3,4,1,0,9,7,5,4,3,3,1,2,2,2,-3,0,0,4,2,0,4,2,5,2,1,2,17
01_04_19,5672192,352764018027532030,2,0,1,0,9,6,6,6,2,1,2,3,1,1,-1,2,3,3,3,1,3,1,5,2,1,1,9
01_04_20,6701975,806754312104421431,4,2,1,0,6,7,4,0,4,3,1,2,1,2,-3,0,0,1,0,3,1,2,4,2,2,2,19
01_04_21,6702194,084721563022510460,4,2,1,0,7,6,4,0,4,2,3,2,1,3,-2,0,0,2,0,0,5,5,3,2,3,3,20
01_04_22,6702194,084721563022510460,4,2,1,0,7,6,4,0,4,2,3,2,1,3,-2,0,0,2,0,0,5,5,3,2,3,3,20
01_04_23,6696629,052837164022144311,3,4,1,0,9,7,5,4,3,3,1,2,2,2,-3,0,0,4,2,0,4,2,5,2,1,2,17
01_04_24,6692950,035268174004451571,3,2,3,0,7,4,3,0,4,2,3,4,1,3,-2,0,0,2,0,0,6,4,1,4,3,2,32
01_04_25,6702194,084721563022510460,4,2,1,0,7,6,4,0,4,2,3,2,1,3,-2,0,0,2,0,0,5,5,3,2,3,3,20
01_04_26,6576712,056874231044254050,3,0,1,0,8,4,2,0,4,2,2,2,1,3,-2,0,0,1,0,2,3,6,2,2,3,4,27
01_05_06,6473622,314826075022202720,2,3,2,0,11,11,6,3,2,3,1,2,2,2,-3,3,1,3,1,0,6,2,5,2,1,1,72
01_05_07,6473622,314826075022202720,2,3,2,0,11,11,6,3,2,3,1,2,2,2,-3,3,1,3,1,0,6,2,5,2,1,1,72
01_05_08,1550316,142378560217464304,0,0,3,0,11,7,5,20,0,2,0,3,1,0,-2,5,0,0,4,0,3,1,5,1,0,1,46
01_05_09,6681497,082567314022444551,3,2,1,0,8,5,2,0,5,3,2,3,2,4,-3,0,0,2,0,0,6,5,1,3,3,3,41
01_05_10,6696545,852631470132054054,3,3,2,0,8,8,4,0,3,5,0,2,3,3,-5,0,0,2,0,0,6,1,4,2,1,2,2
01_05_11,6702194,084721563022510460,4,2,1,0,7,6,4,0,4,2,3,2,1,3,-2,0,0,2,0,0,5,5,3,2,3,3,20
01_05_12,6693566,027561483042217004,3,2,4,0,10,7,4,0,3,3,1,5,2,2,-3,0,0,1,0,2,5,1,3,1,1,0,2
01_05_13,6696665,035726814042511262,4,0,1,0,3,6,4,0,4,4,1,3,4,1,-4,0,0,1,0,0,5,3,4,3,1,2,7
01_05_14,6435039,528376410201464066,2,2,2,0,11,8,3,0,4,3,0,2,2,4,-3,0,0,1,0,2,7,4,3,2,2,2,4
01_05_15,6473644,145736802221644376,2,3,2,0,11,8,4,4,2,1,0,2,1,2,-1,4,0,3,1,0,6,2,4,2,2,1,7
01_05_16,4674386,541368207211464541,1,0,4,0,11,9,4,6,1,2,0,4,1,1,-2,6,0,1,1,1,7,1,4,1,1,0,3
01_05_17,6693911,528673041221644500,3,3,1,0,11,9,4,0,3,2,0,1,1,3,-2,0,0,2,0,0,6,4,3,1,2,2,4
01_05_18,6476160,135687420251014034,2,4,1,0,11,9,5,6,2,3,0,1,2,2,-3,3,0,4,2,0,5,3,5,1,1,2,59
01_05_19,1550316,142378560217464304,0,0,3,0,11,7,5,20,0,2,0,3,1,0,-2,5,0,0,4,0,3,1,5,1,0,1,46
01_05_20,6667420,870216354255314431,3,2,1,0,10,9,4,0,3,3,0,1,2,3,-3,0,0,1,0,3,4,3,4,1,2,2,8
01_05_21,6693911,528673041221644500,3,3,1,0,11,9,4,0,3,2,0,1,1,3,-2,0,0,2,0,0,6,4,3,1,2,2,4
01_05_22,6699906,057864231046271050,4,0,1,0,8,6,3,0,4,2,2,2,1,3,-2,0,0,1,0,0,5,5,3,2,3,3,1
01_05_23,6693900,054867312022201431,3,3,1,0,10,9,5,3,3,3,1,3,2,2,-3,3,0,3,1,0,2,1,5,2,1,1,9
01_05_24,6690769,053271468044477070,3,2,2,0,8,4,2,0,4,2,2,4,1,3,-2,0,0,1,0,2,5,4,1,4,3,2,7
01_05_25,6702423,506134872404251351,4,2,1,0,8,6,3,0,4,2,2,2,1,3,-2,0,0,1,0,2,1,3,3,2,3,3,2
01_05_26,6576712,056874231044254050,3,0,1,0,8,4,2,0,4,2,2,2,1,3,-2,0,0,1,0,2,3,6,2,2,3,4,27
01_06_07,6473622,314826075022202720,2,3,2,0,11,11,6,3,2,3,1,2,2,2,-3,3,1,3,1,0,6,2,5,2,1,1,72
01_06_08,6439161,530817462355121031,2,2,2,0,6,11,5,4,2,5,0,2,3,2,-5,4,0,1,1,0,6,1,5,2,1,1,4
01_06_09,6685918,087642351022522030,3,2,1,0,9,9,5,0,4,2,2,3,1,3,-2,0,0,1,0,2,3,1,4,3,2,1,14
01_06_10,5148167,510634287035553721,2,0,1,0,5,10,4,0,2,6,0,3,4,1,-6,0,0,0,0,0,6,1,4,2,2,0,2
01_06_11,6532421,031584627002421511,3,0,1,0,5,8,4,0,4,3,3,3,1,3,-3,0,0,1,0,0,6,4,3,3,3,2,4
01_06_12,6693666,027351864051024211,3,2,4,0,5,7,5,0,3,4,2,5,1,2,-4,0,0,2,0,0,6,1,4,1,1,0,17
01_06_13,6424641,582134067032251571,2,2,1,0,9,11,4,0,3,5,0,2,4,3,-5,0,0,1,0,2,7,2,4,2,2,1,25
01_06_14,6685918,087642351022522030,3,2,1,0,9,9,5,0,4,2,2,3,1,3,-2,0,0,1,0,2,3,1,4,3,2,1,14
01_06_15,6693563,351674028021511050,3,2,3,0,9,8,5,0,3,1,2,4,1,2,-1,0,0,2,0,0,6,1,4,2,2,0,7
01_06_16,6439161,530817462355121031,2,2,2,0,6,11,5,4,2,5,0,2,3,2,-5,4,0,1,1,0,6,1,5,2,1,1,4
01_06_17,6471512,580726314425522031,2,3,1,0,9,8,5,2,2,3,2,1,2,2,-3,0,4,3,2,0,4,4,4,1,2,3,4
01_06_18,6693900,054867312022201431,3,3,1,0,10,9,5,3,3,3,1,3,2,2,-3,3,0,3,1,0,2,1,5,2,1,1,9
01_06_19,6476160,135687420251014034,2,4,1,0,11,9,5,6,2,3,0,1,2,2,-3,3,0,4,2,0,5,3,5,1,1,2,59
01_06_20,6667420,870216354255314431,3,2,1,0,10,9,4,0,3,3,0,1,2,3,-3,0,0,1,0,3,4,3,4,1,2,2,8
01_06_21,6424641,582134067032251571,2,2,1,0,9,11,4,0,3,5,0,2,4,3,-5,0,0,1,0,2,7,2,4,2,2,1,25
