theme_set_id,n,theme_set_dist_1,theme_set_dist_2,theme_set_dist_3,theme_set_dist_4,theme_set_dist_5,theme_set_dist_6
01_07_23,1,"(1, 0, 0)",,,,,
01_07_24,1,"(0, 1, 4)",,,,,
01_07_25,1,"(0, 4, 0)",,,,,
01_07_26,1,"(1, 1, 1)",,,,,
01_08_09,1,"(1, 196, 1)",,,,,
01_08_10,1,"(9, 25, 0)",,,,,
01_08_11,1,"(4, 144, 0)",,,,,
01_08_12,1,"(4, 64, 1)",,,,,
01_08_13,1,"(4, 100, 1)",,,,,
01_08_14,1,"(4, 144, 1)",,,,,
01_08_15,1,"(4, 64, 0)",,,,,
01_08_16,1,"(9, 9, 4)",,,,,
01_08_17,1,"(9, 64, 0)",,,,,
01_08_18,1,"(4, 49, 0)",,,,,
01_08_19,1,"(9, 4, 0)",,,,,
01_08_20,1,"(1, 144, 1)",,,,,
01_08_21,1,"(4, 121, 9)",,,,,
01_08_22,1,"(4, 100, 4)",,,,,
01_08_23,1,"(4, 49, 0)",,,,,
01_08_24,1,"(4, 100, 1)",,,,,
01_08_25,1,"(1, 196, 0)",,,,,
01_08_26,1,"(4, 100, 0)",,,,,
01_09_10,2,"(1, 1, 1)","(1, 0, 4)",,,,
01_09_11,1,"(1, 0, 0)",,,,,
01_09_12,1,"(1, 1, 4)",,,,,
01_09_13,1,"(0, 1, 1)",,,,,
01_09_14,1,"(1, 0, 0)",,,,,
01_09_15,1,"(0, 1, 1)",,,,,
01_09_16,2,"(4, 0, 25)","(1, 1, 25)",,,,
01_09_17,1,"(4, 1, 4)",,,,,
01_09_18,1,"(1, 0, 4)",,,,,
01_09_19,1,"(4, 1, 4)",,,,,
01_09_20,1,"(0, 1, 0)",,,,,
01_09_21,1,"(1, 0, 9)",,,,,
01_09_22,1,"(1, 0, 1)",,,,,
01_09_23,1,"(0, 1, 1)",,,,,
01_09_24,1,"(1, 1, 1)",,,,,
01_09_25,1,"(1, 0, 0)",,,,,
01_09_26,1,"(1, 0, 1)",,,,,
01_10_11,1,"(1, 4, 0)",,,,,
01_10_12,1,"(1, 1, 1)",,,,,
01_10_13,1,"(4, 0, 1)",,,,,
01_10_14,1,"(1, 1, 1)",,,,,
01_10_15,3,"(0, 9, 4)","(0, 4, 9)","(0, 16, 1)",,,
01_10_16,1,"(4, 1, 9)",,,,,
01_10_17,1,"(4, 4, 1)",,,,,
01_10_18,1,"(1, 1, 1)",,,,,
01_10_19,2,"(4, 1, 1)","(1, 1, 4)",,,,
01_10_20,1,"(1, 1, 0)",,,,,
01_10_21,1,"(4, 0, 4)",,,,,
01_10_22,1,"(1, 1, 1)",,,,,
01_10_23,1,"(1, 1, 0)",,,,,
01_10_24,2,"(4, 1, 1)","(1, 4, 1)",,,,
01_10_25,1,"(1, 4, 0)",,,,,
01_10_26,2,"(1, 4, 0)","(1, 1, 1)",,,,
01_11_12,1,"(1, 0, 1)",,,,,
01_11_13,1,"(1, 0, 4)",,,,,
01_11_14,1,"(0, 0, 1)",,,,,
01_11_15,1,"(1, 0, 0)",,,,,
01_11_16,1,"(4, 0, 16)",,,,,
01_11_17,1,"(1, 0, 4)",,,,,
01_11_18,1,"(1, 0, 1)",,,,,
01_11_19,1,"(1, 0, 4)",,,,,
01_11_20,1,"(0, 1, 1)",,,,,
01_11_21,1,"(0, 0, 16)",,,,,
01_11_22,1,"(0, 0, 1)",,,,,
01_11_23,2,"(1, 0, 1)","(0, 0, 4)",,,,
01_11_24,1,"(1, 0, 1)",,,,,
01_11_25,1,"(0, 0, 0)",,,,,
01_11_26,1,"(1, 0, 0)",,,,,
01_12_13,1,"(1, 1, 1)",,,,,
01_12_14,3,"(4, 4, 0)","(1, 4, 1)","(1, 9, 0)",,,
01_12_15,1,"(1, 4, 0)",,,,,
01_12_16,1,"(4, 0, 9)",,,,,
01_12_17,1,"(4, 1, 4)",,,,,
01_12_18,1,"(1, 4, 1)",,,,,
01_12_19,1,"(4, 1, 4)",,,,,
01_12_20,1,"(1, 1, 1)",,,,,
01_12_21,1,"(4, 0, 4)",,,,,
01_12_22,1,"(1, 4, 4)",,,,,
01_12_23,1,"(1, 1, 1)",,,,,
01_12_24,1,"(1, 1, 1)",,,,,
01_12_25,1,"(1, 4, 0)",,,,,
01_12_26,1,"(1, 4, 1)",,,,,
01_13_14,1,"(1, 1, 1)",,,,,
01_13_15,1,"(0, 4, 4)",,,,,
01_13_16,1,"(1, 1, 25)",,,,,
01_13_17,1,"(1, 1, 25)",,,,,
01_13_18,1,"(1, 1, 4)",,,,,
01_13_19,1,"(4, 1, 4)",,,,,
01_13_20,1,"(1, 1, 1)",,,,,
01_13_21,1,"(4, 0, 4)",,,,,
01_13_22,1,"(0, 4, 1)",,,,,
01_13_23,1,"(0, 1, 1)",,,,,
01_13_24,1,"(0, 1, 4)",,,,,
01_13_25,1,"(0, 4, 0)",,,,,
01_13_26,1,"(1, 1, 1)",,,,,
01_14_15,1,"(0, 1, 1)",,,,,
01_14_16,1,"(4, 0, 25)",,,,,
01_14_17,1,"(4, 1, 4)",,,,,
01_14_18,2,"(1, 0, 4)","(1, 1, 1)",,,,
01_14_19,1,"(4, 1, 4)",,,,,
01_14_20,1,"(0, 1, 1)",,,,,
01_14_21,1,"(1, 0, 9)",,,,,
01_14_22,1,"(1, 0, 1)",,,,,
01_14_23,1,"(0, 1, 1)",,,,,
01_14_24,1,"(1, 1, 1)",,,,,
01_14_25,1,"(1, 0, 0)",,,,,
01_14_26,1,"(4, 0, 0)",,,,,
01_15_16,1,"(4, 0, 4)",,,,,
01_15_17,1,"(4, 0, 4)",,,,,
01_15_18,1,"(1, 0, 1)",,,,,
01_15_19,1,"(4, 0, 1)",,,,,
01_15_20,1,"(0, 1, 1)",,,,,
01_15_21,1,"(1, 0, 9)",,,,,
01_15_22,1,"(1, 0, 1)",,,,,
01_15_23,1,"(1, 1, 0)",,,,,
01_15_24,1,"(1, 1, 1)",,,,,
01_15_25,1,"(1, 0, 0)",,,,,
01_15_26,1,"(0, 1, 1)",,,,,
01_16_17,1,"(9, 16, 1)",,,,,
01_16_18,1,"(1, 16, 1)",,,,,
01_16_19,1,"(4, 16, 1)",,,,,
01_16_20,1,"(1, 16, 1)",,,,,
01_16_21,1,"(4, 4, 9)",,,,,
01_16_22,1,"(1, 16, 4)",,,,,
01_16_23,1,"(1, 16, 0)",,,,,
01_16_24,1,"(4, 9, 1)",,,,,
01_16_25,1,"(1, 25, 0)",,,,,
01_16_26,1,"(1, 25, 0)",,,,,
01_17_18,1,"(1, 4, 1)",,,,,
01_17_19,1,"(9, 0, 0)",,,,,
01_17_20,1,"(1, 16, 1)",,,,,
01_17_21,1,"(1, 4, 25)",,,,,
01_17_22,1,"(1, 4, 4)",,,,,
01_17_23,1,"(1, 4, 1)",,,,,
01_17_24,1,"(4, 4, 1)",,,,,
01_17_25,1,"(4, 4, 0)",,,,,
01_17_26,1,"(4, 4, 0)",,,,,
01_18_19,2,"(4, 0, 1)","(1, 0, 4)",,,,
01_18_20,1,"(0, 4, 1)",,,,,
01_18_21,2,"(1, 1, 16)","(1, 0, 25)",,,,
01_18_22,1,"(1, 1, 1)",,,,,
01_18_23,1,"(1, 0, 0)",,,,,
01_18_24,1,"(1, 1, 1)",,,,,
01_18_25,1,"(1, 1, 0)",,,,,
01_18_26,2,"(1, 4, 0)","(1, 1, 1)",,,,
01_19_20,1,"(1, 4, 1)",,,,,
01_19_21,1,"(4, 1, 25)",,,,,
01_19_22,1,"(4, 1, 4)",,,,,
01_19_23,1,"(4, 1, 0)",,,,,
01_19_24,1,"(4, 4, 1)",,,,,
01_19_25,1,"(4, 4, 0)",,,,,
01_19_26,2,"(4, 4, 0)","(1, 4, 1)",,,,
01_20_21,1,"(0, 1, 16)",,,,,
01_20_22,1,"(1, 1, 0)",,,,,
01_20_23,1,"(0, 0, 1)",,,,,
01_20_24,1,"(0, 1, 4)",,,,,
01_20_25,1,"(0, 1, 0)",,,,,
01_20_26,1,"(0, 1, 1)",,,,,
01_21_22,1,"(1, 9, 0)",,,,,
01_21_23,1,"(1, 16, 0)",,,,,
01_21_24,1,"(4, 4, 0)",,,,,
01_21_25,1,"(0, 16, 0)",,,,,
01_21_26,1,"(1, 9, 0)",,,,,
01_22_23,1,"(0, 4, 1)",,,,,
01_22_24,1,"(1, 4, 1)",,,,,
01_22_25,1,"(0, 1, 0)",,,,,
01_22_26,1,"(1, 0, 0)",,,,,
01_23_24,1,"(0, 1, 4)",,,,,
01_23_25,1,"(0, 4, 0)",,,,,
01_23_26,1,"(1, 1, 1)",,,,,
01_24_25,1,"(1, 1, 0)",,,,,
01_24_26,1,"(1, 4, 0)",,,,,
01_25_26,1,"(1, 0, 0)",,,,,
02_03_04,2,"(4, 1, 0)","(1, 4, 0)",,,,
02_03_05,1,"(4, 1, 0)",,,,,
02_03_06,1,"(4, 1, 4)",,,,,
02_03_07,2,"(4, 1, 1)","(1, 4, 1)",,,,
02_03_08,1,"(9, 1, 121)",,,,,
02_03_09,1,"(4, 4, 1)",,,,,
02_03_10,1,"(4, 1, 1)",,,,,
02_03_11,1,"(4, 1, 0)",,,,,
02_03_12,1,"(9, 0, 0)",,,,,
02_03_13,1,"(9, 0, 1)",,,,,
02_03_14,1,"(9, 4, 0)",,,,,
02_03_15,1,"(4, 1, 1)",,,,,
02_03_16,1,"(1, 4, 9)",,,,,
02_03_17,1,"(9, 4, 4)",,,,,
02_03_18,1,"(1, 4, 1)",,,,,
02_03_19,1,"(1, 4, 9)",,,,,
02_03_20,1,"(4, 1, 1)",,,,,
02_03_21,1,"(9, 0, 1)",,,,,
02_03_22,2,"(4, 1, 9)","(1, 4, 9)",,,,
02_03_23,1,"(1, 4, 1)",,,,,
02_03_24,1,"(4, 1, 1)",,,,,
02_03_25,1,"(4, 4, 0)",,,,,
02_03_26,2,"(4, 4, 1)","(1, 4, 4)",,,,
02_04_05,1,"(0, 0, 0)",,,,,
02_04_06,1,"(1, 0, 0)",,,,,
02_04_07,1,"(0, 0, 0)",,,,,
02_04_08,1,"(0, 0, 100)",,,,,
02_04_09,2,"(4, 0, 0)","(1, 0, 1)",,,,
02_04_10,2,"(1, 0, 1)","(0, 0, 4)",,,,
02_04_11,1,"(1, 0, 0)",,,,,
02_04_12,1,"(1, 0, 4)",,,,,
02_04_13,1,"(1, 0, 1)",,,,,
02_04_14,1,"(4, 0, 0)",,,,,
02_04_15,1,"(1, 0, 0)",,,,,
02_04_16,2,"(1, 0, 9)","(0, 0, 16)",,,,
02_04_17,1,"(1, 0, 4)",,,,,
02_04_18,1,"(0, 0, 0)",,,,,
02_04_19,1,"(0, 0, 4)",,,,,
02_04_20,1,"(0, 0, 1)",,,,,
02_04_21,1,"(0, 0, 16)",,,,,
02_04_22,1,"(1, 0, 1)",,,,,
02_04_23,1,"(0, 0, 0)",,,,,
02_04_24,1,"(1, 0, 1)",,,,,
02_04_25,1,"(1, 0, 0)",,,,,
02_04_26,1,"(1, 0, 1)",,,,,
02_05_06,1,"(1, 0, 0)",,,,,
02_05_07,1,"(1, 0, 0)",,,,,
02_05_08,1,"(0, 0, 100)",,,,,
02_05_09,1,"(4, 0, 1)",,,,,
02_05_10,1,"(1, 4, 1)",,,,,
02_05_11,1,"(1, 4, 1)",,,,,
02_05_12,1,"(4, 1, 1)",,,,,
02_05_13,1,"(1, 4, 1)",,,,,
02_05_14,1,"(4, 0, 0)",,,,,
02_05_15,1,"(1, 0, 0)",,,,,
02_05_16,1,"(1, 0, 9)",,,,,
02_05_17,1,"(1, 4, 4)",,,,,
02_05_18,1,"(0, 0, 0)",,,,,
02_05_19,1,"(0, 0, 4)",,,,,
02_05_20,1,"(0, 1, 1)",,,,,
02_05_21,1,"(1, 0, 9)",,,,,
02_05_22,1,"(1, 0, 4)",,,,,
02_05_23,1,"(0, 0, 0)",,,,,
02_05_24,1,"(4, 4, 1)",,,,,
02_05_25,1,"(1, 0, 1)",,,,,
02_05_26,1,"(0, 0, 4)",,,,,
02_06_07,1,"(1, 0, 0)",,,,,
02_06_08,1,"(0, 4, 100)",,,,,
02_06_09,1,"(4, 4, 1)",,,,,
02_06_10,1,"(1, 0, 1)",,,,,
02_06_11,1,"(4, 9, 0)",,,,,
02_06_12,1,"(1, 4, 9)",,,,,
02_06_13,1,"(4, 0, 1)",,,,,
02_06_14,1,"(4, 0, 1)",,,,,
02_06_15,1,"(1, 9, 0)",,,,,
02_06_16,1,"(1, 0, 16)",,,,,
02_06_17,1,"(1, 9, 4)",,,,,
02_06_18,1,"(0, 4, 0)",,,,,
02_06_19,1,"(0, 4, 4)",,,,,
02_06_20,1,"(1, 0, 1)",,,,,
02_06_21,1,"(1, 0, 9)",,,,,
02_06_22,1,"(1, 9, 1)",,,,,
02_06_23,1,"(1, 0, 0)",,,,,
02_06_24,1,"(1, 0, 9)",,,,,
02_06_25,1,"(1, 9, 0)",,,,,
02_06_26,1,"(1, 9, 1)",,,,,
02_07_08,1,"(0, 0, 144)",,,,,
02_07_09,1,"(1, 1, 1)",,,,,
02_07_10,1,"(0, 0, 4)",,,,,
02_07_11,1,"(1, 0, 1)",,,,,
02_07_12,1,"(1, 1, 4)",,,,,
02_07_13,1,"(1, 1, 1)",,,,,
02_07_14,1,"(1, 1, 1)",,,,,
02_07_15,1,"(1, 0, 1)",,,,,
02_07_16,1,"(1, 0, 16)",,,,,
02_07_17,1,"(0, 0, 16)",,,,,
02_07_18,1,"(0, 0, 0)",,,,,
